Review,Rating,id,sno
"disapointed hotel stayed hotel 2 days november quite dissapointed standard offer, cannotunderstand rated stars charge high prices, bathroom poorly located small light shower dark, shower head replaced point did not fit holder not stand shower, rooms claimed soundproofed clearly hear guests room wonders, no iron safe did not function, not terrible hotel does make mockery star 4 star, swiming pool roof important good quality room,  ",2,177bb707-b989-447c-9883-b8131f898b28,4982
"awesome ariele just returned form night holiday florence staying palazzo hotel ariele, friend hotel excellent way, exiting train station tired early start dublin nightmare italian train just wanted hotel downtown, consulted map walked ariele, impressions hotel someway town centre street, day realized situated minutes walk river arno future journeys centre florence taken banks river 15 mixture strole, location great quiet street no traffic noise waken early morning, occasion woken sound birds singing dawn chorus ca n't better, street hotel situated small coffee shops small sized supermarket atm machine post office handy sending ones post cards.the room good, spacious clean little old fashioned decor, bathroom brand new decent sized bath shower handheld little annoying, bed comfortable breakfast adequate set day sightseeing, overall friend concluded enjoyed time ariele florence make reservation, read lot negative comments regarding staff little contact fine job promptly efficiently,  ",5,d0c1b735-078b-4a8b-a2a2-113579540249,4983
"unfriendly staff stayed hotel ariele days march 2007. breakfast attendant housekeeping staff friendly, rest staff formal responded short answers routine questions i.e. directions bus routes dry cleaners, wife daughter felt intruding asked questions, housekeeping staff open door knocking, location quite walk center town, wo n't return hotel,  ",2,f10b2501-418f-42f0-9808-e0052c0a607c,4984
"great location noisy room stayed nights business trip warned previous reviews trip advisor asked room floor away street level noise, unfortunately room just breakfast room awoken early morning chairs scraped floor, staff noisy corridors hoovering corridor 8 morning surely no hotel need, not hotel choose like lie morning, room smart bright charming reception staff charming sacked lot cos comments trip advisor, unpleasant smell reception n't did n't really want place location hotel ca n't faulted overall time try central hotel,  ",3,4286feaa-16ec-4509-be02-52f8c3b98cc1,4985
"great location spent nights florence, hotel short taxi ride train station, staff friendly, rooms not ready offered breakfast buffet, wide variety food, view terrace great, florence walk, hotel middle, bargello musuem block away, accademia uffizi short walks, reserved tickets left florence museums highly recommend hour waiting lines museums, staff great helpful, ate restaurant hotel not recommend, cafe door fabulous, re-open dinner 7 p.m. busy fast, duomo short walk away hotel, problem room not sound proofed, hear people rooms street floor, room handicapped person room large bathroom huge,  ",4,a4fb5850-561b-414d-b199-a60b88f79178,4986
"nice surprse sent hotel booked, required quad room family traveling children, quad room hotel cavour generous size not usual experince italy appeared newly renovated, complained noise room airshaft noise not issue surprisingly light, fourth floor room got light direct sunlight felt dark closed, issue bathroom did not tub, long day touring nice soak tub, shower wonderful rain shower head, hotel wonderful surprise recommend family traveling children,  ",5,18d13d58-9e2b-483f-ba66-9d0aff981e8a,4987
"great hotel stayed hotel 3 nights wish, room n't perfect, looked like recently remodeled not sure rooms nice, room bathroom cleanest seen hotel, bed bedding comfortable clean, bathroom spacious beautiful, location hotel perfect, price ca n't imagine person better,  ",4,25f20137-9f4d-4d1b-8cd3-9b8b9f354266,4988
"near duomo, hotel simple big room european style nice staff, near important attractions,  ",3,f2b2b008-1b8c-484b-ad30-0e11a1001f36,4989
"1 star best location great room left alot desired, not sure arrived 8 o'clock room available thought pre-paid not expected, room dark bathroom obvious converted closet folding door, morning make shower backed water covering entire bathroom floor, no rooms available stuck room 3 nights, owner hotel fixed shower problem morning left bad taste mouth, free internet nice breakfast good dont think room worthy 2 stars, not return,  ",2,cc39121c-9f77-4243-a7b3-86e7794a5356,4990
"staff amazing, stranded florence came hotel guide books, able reasonable rate minute notice, staff helpful recommending restaurants helped book trip spa 30 miles away, loved place..definately recommend,  ",4,d48250ad-3755-451b-a859-5252453bcd32,4991
"better expect stayed hotel night, room nice spacious large bed ac, rooms bathroom spotless, redecorated recently, actually did n't expect close price entrance hotel situated 3rd 2nd floor entrance relatively dump, rarely hotel central location quiet calm, location really great actually difficult imagine better, close duomo sights, problems finding sign entrance not large, coming car really problem way city, did not good map showing traffic directions streets centre way, staff hotel friendly happy guide city think called 3 times, really great dinner l'osteria di giovanni del rabbit wine sauce just perfect wine line, not cheap worth money, enjoy visit florence,  ",5,e73dedd3-8b12-424a-8480-bb6bbd3712fb,4992
"star hotel star value located half way duomo uffizi gallery hotel situational advantage hard beat, enter hotel greeted people eager tell want know florence treasured monuments.its prime location not disadvantages, driving hotel narrow crowded streets not easy parking impossible, hotel arrangement garage additional expense bear.it two-star hotel price match don__Ç_é_ expect luxury, no bell boys help luggage carry flight stairs room 4th floor no lift 3rd 4th floors occupied maxim, room functional breakfast not exciting, florence looking convenient decent place friendly helpful people running, maxim certainly fulfill need,  ",4,9785a8ce-78d4-4d5f-aafd-cbbd6f5978cd,4993
"great location stayed couple weeks ago location not better, walk left duomo accademy, right head uffizi ponte vecchio, places eat hotel hotel ac breakfast nice, stay,  ",5,a3d7ccee-fa9d-4b44-ae41-e7e555471b1d,4994
"perfect location, husband stayed hotel maxim nights april, location n't better, room bathroom clean, room little dark fine, breakfast adequate staff friendly helpful, price great especially compare hotels area, definitely stay hotel maxim,  ",4,d492d1bc-b346-42ec-8d1b-ee92d65da12f,4995
"excellent value money stayed saint__Ç_é_ weekend, excellent location affordable, pretty basic breakfast nice bathroom standard shower cabinet ok room size smaller italy, friendly helpful staff, stayed floor supposedly modern floor definitely choose hotel, free internet access pc s available customers great thing,  ",4,b0b8a26e-c0fd-43f0-a3a3-af44e14fc24c,4996
"great location reasonable price husband stayed maxim hotel 5 nights happy stay, staff members helpful booking tours making reservations, locations ca n't better, walking distance, definiately stay,  ",4,80e327cf-9e92-4806-a5f2-0eb99e0a5fff,4997
"worth try wife stayed hotel maxim recently, definitely worth checking price does value money, nothing fancy fact think going block apartments enter, floor reception given room floor separate annex hotel, hotel recently refurbished room clean modern, wooden shutters windows blocked light night beneficial trying sleep hotels, outside noise street night mainly street cleaning machines centre town noise expected, fact good location, 2 mins walk duomo 5 mins uffizi 10 mins walk train station, breakfast usual continental buffet style bread rolls cereal cheese, free internet access 12 midnight, staff reception courteous helpful,  ",4,41cf5b35-edcf-434e-8d7c-9309d5cb35b3,4998
"perfect location, clean safe reasonably priced, friend stayed hotel maxim nights october 2004 visit florence, happy hotel, location perfect duomo 2nd floor window short walk away, room twin beds private bathroom maid cleaned everyday, facilities simple clean friend neat freaks high cleaniness standards, staff talked friendly helpful, enjoyed simple continental breakfast included tariff morning quite little breakfast room, hotel offers good value price, stay hotel florence,  ",5,a0102148-33fb-40ca-bb43-5076c49aeb4a,4999
"great location accomodating perfect hotel stay visit florence, yourlocation ideal, friendly faces staff guests everthing perfect, enjoyed lovely breakfast wonderful cappucino, suggestions dining perfect use internet appreciated year old son maine.the rooms clean efficient look forward seeing agian, thank making accomodating, miss italy sincerely eileen parenteau,  ",4,b0a64879-ef9e-4f55-a254-e19e91ff9024,5000
"gem family run hotel, hotel casci wonderful hotel love deserve good customers, family run hotel clean spacious rooms run gracious friendly staff owners, paolo worked desk 10 years incredible reservation process stay, rare hotel stay left feeling treated family, breakfast staff n't make sure right drink food including cooked order soft hard boiled eggs, requests bath towels dry hair reservations museums etc. met wonderful customer service, hotel n't better location plus lift/elevator,  ",5,07d9b00e-5b0a-4f35-a328-efbdb28a1def,5001
"great well-located 2 star hotel recently returned wonderful trip florence spent nights hotel casci, terrific off-season rate 79 euros night, clean quiet proprietors friendly answered questions, european standards thought twin bedded room quite spacious, hotel conveniently located, definitely stay trip florence,  ",5,3218713e-976d-4a1c-a595-b06f60b1d46d,5002
"friends visited florence september, casci hotel not clean located heart florence helpful friendly managers, carla lombardi son paolo helpful feel family big city, went hospitality service, highly recommend hotel wanting convenient location modest price.it hotel week trip left lasting impression hostitality genuine concern patrons, good job lombardi,  ",4,62d41881-d75a-4c5a-af72-f4759b844986,5003
"good know not know rooms room window opened small yard light fresh air, arrived room saturated toilet spray not breathe night realized reason covering bad smell bath toilet.since nothing standard form bath shower surface wet difficult collect, spent not good time, not recommend,  ",2,210b669d-f759-49cd-8110-795afb221c9f,5004
"friendly teenage son stayed hotel casci september, experience confirmed excellent reviews trip advisor based decision book hotel, staff friendly helpful especially son accidently left treasured nba singlet room, quick phone ascertained handed housekeeper posted australia cost, stopover florence days later enroute venice allowed quick taxi ride train station pick personally, hotel casci excellent central position room impecibly clean quiet faced street breakfast fine great coffee offers hot chocolate son, staff gallery bookings recommendations tours, economical hotel choice iwith real personal touch not hesitate recommend,  ",5,caaf137c-14f8-4b77-acd3-e5dd03f02f5d,5005
"perfect family hotel just returned wonderful family wedding florence family friends stayed hotel casci, hotel met need, hotel fabulous central location clean, i__Ç_é sure fresh bed linen towels day, room__Ç_é_ simple clean fridge flat screen tv dvd, family room perfect children__Ç_é_ bedrooms alcove main room, lombardi family nothing trouble, went way ensure needed morning night, party ranged age 5 felt personal service, left send like family friends departing guests, incidentally building work going no means affected quality stay.we certainly return,  ",5,df05ff01-acce-476b-95e6-b8677546d2ee,5006
"loved casci, took girlfriend florance days booked casci following reviews got site.lovely place great central position quiet rooms 4/5 floors wonderful staff friendly helpful, really kept clean homely.if looking 5* international-style hotel n't you.its friendly traditional family-run bb type great cheers staff friendly welcoming, especially guy reception asked good place anniversary took trouble ring place organise special table, amazing,  ",5,ecf4fedc-0f77-4e78-8265-c82a70771058,5007
"wonderful stay stayed florence days night, perfect choice immediatley charming effect just like home, check-in valet parking painless early check-in accomodating leave overnight bags sight see.it perfect location close major sights want see.the rooms clean comfortable 3 people queen single certainly stay n't hesitate recommend friends family,  ",5,f15e66ce-5b75-49e6-ba20-cecf8bcc5944,5008
"nice way close doumo clean personable service good breakfast firm beds air conditioning, really enjoyed stay, modest hotel great service,  ",4,3b63f5fc-51e2-4cbd-9593-3a38b9386993,5009
"great experience, stayed night wished night vacation, great experience family, arrived hot tired rome pleasantly surprised greeted, rooms clean air conditioning heavenly restaurant recommendation provided best meal entire trip, paolo reservations museums saving long wait line, staff helpful friendly, location nice close duomo major sights, walked train station no trouble, breakfast good nice variety cereals meats cheeses, reported posts hot chocolate superb, lucky return florence definitely stay,  ",5,1b564f5b-bb40-4288-ba15-c18c8dcca1cc,5010
"ca n't beat, family run hotel gem great place stay kids, perfect location spotless rooms wonderful breakfast, family make stay enjoyable, shared quad 2 children perfectly comfortable, loved place look no time florence,  ",5,7cf6a043-3d7f-44fc-9c70-0afa34cfa054,5011
"great place hotel run wonderful staff, location excellent 2 blocks duomo short walk town, staff spoke great english helpful making advance reservations museums.they wonderful breakfast morning choices helpful staff wanted, free internet lobby guest use anytime day, room large screen tv dvd player nice selection movies available languages.they great selection novels travel guides available guest use, loved highly recommend hotel,  ",5,457f0e82-7bcf-499a-829c-b2a637ac3634,5012
"great value loved breakfast looking budget hotel florence place stay, lot euros here.hotel casci family run clean basic, n't expect 4 star service bellboys help 2 flights stairs luggage, small lift need, outside does n't look like, rooms quite dated bed bit hard t.v. clean sheets immaculately clean bathroom soaker tub, tub came handy long day walking, reception area cafe chill coffee/wine read paper book use free internet service, numerous italy travel books hand well.breakfast included stay consists hard soft boiled eggs pastries bread cereals fruit cappucino orange juice, great way start day florence, hotel casci close major city sights duomo acadamia uiffizzi gallery not far walk, great shopping close, staff happy help good restaurant make reservations day,  ",4,eb5b8fb5-5b5e-4d85-a75d-67e4f8224155,5013
"loved hotel casci recently stayed hotel casci 4 nights highly recommend, hotel located walking distance train station duomo downtown florence, took cab, hotel clean comfortable best people run, owned operated family way make feel welcome relaxed, breakfast wonderful, price reasonable, advised friends spent time years ago recommendation right,  ",5,0c42a7dd-032d-4c77-94b7-a7f7f3f21d53,5014
